sample_date,state,location_type,water_source,season,ph,turbidity_ntu,tds_mg_l,dissolved_oxygen_mg_l,bod_mg_l,fecal_coliform_mpn,total_coliform_mpn,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,hardness_mg_l,temperature_c,arsenic_ug_l,iron_mg_l,population_served,sanitation_access_percent,cholera_outbreak,typhoid_outbreak,dysentery_outbreak,hepatitis_a_outbreak,overall_outbreak
2024-09-23,Sikkim,Rural,Hand Pump,Pre-Monsoon,6.94,0.18,265.2,9.44,2.9,4.9,14.8,24.09,0.342,100.4,92.5,30.4,7.38,0.298,100,80,0,0,0,0,0
2023-06-05,Assam,Urban,Well,Post-Monsoon,5.94,2.52,583.4,6.02,0.66,25.7,44.2,41.39,0.097,51.6,107.5,28.9,17.55,1.113,5000,80,0,0,0,0,0
2023-12-03,Arunachal Pradesh,Rural,Pond,Winter,7.34,68.38,455.7,1.79,1.37,33.8,55.4,16.82,0.263,1.0,56.4,18.1,7.84,1.782,500,20,1,0,1,0,1
2023-07-19,Manipur,Rural,Stream,Monsoon,6.15,55.8,387.3,5.98,3.97,12.6,30.2,27.5,0.165,49.9,189.1,23.4,1.03,0.27,200,40,0,0,1,1,1
2023-01-24,Nagaland,Rural,Spring,Post-Monsoon,6.62,3.47,394.3,7.17,0.5,55.2,95.9,17.81,1.926,29.0,238.7,30.5,2.96,2.548,100,60,0,0,0,0,0
2023-12-19,Nagaland,Urban,Stream,Monsoon,6.56,18.23,325.5,7.96,8.77,103.2,212.5,2.49,0.312,57.2,164.7,24.7,3.69,0.074,200,100,1,0,0,1,1
2023-06-30,Mizoram,Rural,River,Winter,5.36,1.45,397.0,5.99,5.11,83.0,212.6,12.02,0.245,38.0,80.5,19.5,7.76,0.211,500,60,0,0,0,0,0
2023-09-27,Assam,Rural,River,Pre-Monsoon,6.56,0.55,127.1,7.92,1.51,10.1,16.5,46.6,0.409,60.2,103.0,24.0,7.1,0.408,200,80,0,0,0,0,0
2024-04-10,Tripura,Rural,River,Post-Monsoon,7.44,9.79,356.4,3.16,0.51,87.9,249.5,29.16,0.392,26.8,99.7,22.3,33.53,1.506,100,40,0,0,1,1,1
2023-10-20,Manipur,Urban,Stream,Monsoon,7.13,51.37,617.1,8.24,3.71,12.4,22.8,20.04,1.456,81.8,62.2,23.3,13.67,0.729,500,80,0,0,0,1,1
2024-07-31,Nagaland,Rural,River,Monsoon,7.57,7.95,513.6,4.57,1.78,193.4,316.2,11.02,0.261,77.8,56.0,27.1,5.46,0.051,200,60,1,1,1,0,1
2023-03-07,Mizoram,Rural,Stream,Monsoon,5.94,10.14,380.2,7.01,0.5,84.8,253.0,5.34,0.632,18.0,125.9,27.0,1.82,0.633,100,60,0,0,1,0,1
2024-04-27,Assam,Rural,Well,Monsoon,5.54,15.33,421.5,5.8,0.53,20.1,57.1,8.95,0.23,21.0,55.7,27.0,0.93,0.498,1000,80,0,0,0,0,0
2024-12-07,Manipur,Rural,Hand Pump,Post-Monsoon,6.23,1.79,411.7,5.6,1.81,108.0,293.7,22.88,0.102,10.0,55.0,23.9,26.13,1.401,100,20,1,0,0,0,1
2024-02-19,Tripura,Rural,Hand Pump,Monsoon,6.38,4.18,197.6,6.0,2.77,98.4,159.5,9.36,0.628,17.9,83.7,24.6,5.18,0.575,200,80,0,0,0,0,0
2024-01-25,Meghalaya,Rural,Well,Monsoon,6.82,18.19,175.0,6.35,4.63,218.8,596.5,5.6,0.267,28.1,71.9,24.0,8.86,0.059,100,60,1,1,1,1,1
2024-09-11,Meghalaya,Rural,River,Pre-Monsoon,5.98,12.36,583.2,6.68,1.97,14.7,25.4,20.51,0.157,6.0,105.0,21.7,1.98,0.506,1000,20,0,0,0,0,0
2024-09-15,Nagaland,Rural,Well,Post-Monsoon,5.03,1.64,213.8,7.4,1.65,31.0,76.7,12.72,1.148,39.3,129.2,24.6,30.64,0.19,500,40,0,0,0,0,0
2023-10-14,Arunachal Pradesh,Rural,River,Monsoon,6.11,43.79,163.2,9.06,1.0,190.4,448.1,16.46,0.463,1.0,101.7,23.2,17.48,1.121,50,60,1,1,1,1,1
2023-07-28,Tripura,Urban,Stream,Pre-Monsoon,6.79,12.38,261.0,5.98,0.85,56.0,128.8,0.85,0.276,3.3,47.1,25.8,16.71,0.018,500,20,0,0,0,0,0
2023-01-05,Mizoram,Rural,Stream,Pre-Monsoon,6.71,4.23,330.1,9.4,3.75,59.8,121.6,68.4,0.265,1.0,106.2,26.3,0.52,0.575,500,60,0,1,0,0,1
2023-07-29,Meghalaya,Rural,River,Winter,6.98,0.14,282.4,5.87,2.1,24.2,62.5,11.23,0.695,1.0,38.5,17.4,3.4,0.195,1000,60,0,0,0,0,0
2023-05-01,Assam,Rural,River,Monsoon,6.68,1.19,345.2,6.22,1.02,344.4,633.7,23.5,0.997,77.2,86.3,24.7,14.15,1.25,1000,60,1,1,1,1,1
2023-03-12,Assam,Urban,Rainwater,Pre-Monsoon,6.55,0.59,274.3,8.78,3.65,19.3,42.0,10.14,0.224,11.6,20.3,30.6,2.68,1.816,500,20,0,0,0,0,0
2024-02-07,Assam,Rural,Hand Pump,Pre-Monsoon,6.28,6.53,433.9,6.35,3.16,106.9,299.0,16.4,0.449,59.4,61.2,21.9,52.45,2.531,1000,60,1,0,0,0,1
2023-11-23,Meghalaya,Rural,Spring,Post-Monsoon,6.14,0.84,309.1,8.87,5.12,45.7,114.3,15.25,0.284,60.9,174.8,29.6,9.41,0.078,1000,80,0,0,0,0,0
2023-05-08,Meghalaya,Rural,Well,Monsoon,8.17,18.99,203.2,4.97,7.98,57.0,156.2,34.55,0.11,13.2,28.1,22.9,9.85,0.398,200,40,0,1,0,0,1
2024-02-27,Manipur,Rural,Well,Monsoon,6.56,1.57,669.8,4.54,0.5,2.5,6.7,10.28,0.24,1.0,39.3,25.2,0.64,1.094,200,60,0,0,0,0,0
2024-05-06,Manipur,Urban,River,Pre-Monsoon,6.0,7.51,357.5,3.82,1.23,52.1,111.3,8.24,0.101,65.2,95.4,22.2,24.61,1.755,200,80,0,1,0,0,1
2023-01-16,Assam,Rural,Hand Pump,Post-Monsoon,7.3,4.99,591.5,6.71,6.25,29.0,83.5,31.57,0.334,1.0,80.0,26.4,12.7,4.068,100,20,0,0,0,0,0
2024-04-05,Assam,Rural,Pond,Pre-Monsoon,6.71,33.77,633.2,0.5,0.5,55.3,118.2,32.08,1.122,102.9,167.1,26.4,5.03,0.101,200,60,1,1,0,0,1
2023-08-25,Assam,Rural,Spring,Pre-Monsoon,7.18,1.22,242.8,9.6,3.13,171.2,407.3,29.44,0.428,50.3,108.2,29.3,12.94,1.517,1000,40,0,1,1,1,1
2023-01-15,Tripura,Rural,Hand Pump,Monsoon,5.9,6.77,497.6,6.94,0.5,132.2,228.0,41.63,1.796,50.4,194.9,26.8,6.58,3.659,2000,40,1,1,1,1,1
2024-11-15,Assam,Rural,Pond,Pre-Monsoon,6.16,29.01,102.1,8.91,1.17,128.5,267.6,14.86,0.166,1.0,132.2,24.6,15.15,0.078,200,100,1,1,1,1,1
2024-04-19,Assam,Rural,Hand Pump,Monsoon,6.54,4.51,547.2,7.34,0.7,58.0,161.9,6.94,0.035,13.9,117.3,25.0,9.21,1.395,1000,80,0,0,0,0,0
2024-01-31,Arunachal Pradesh,Urban,Rainwater,Pre-Monsoon,6.25,3.42,273.5,8.92,7.8,54.9,97.0,6.64,0.018,46.1,101.9,29.4,20.55,0.669,50,20,0,1,0,0,1
2024-06-09,Mizoram,Rural,Stream,Pre-Monsoon,6.9,7.43,626.8,8.98,3.71,66.3,185.9,17.41,0.224,54.8,135.0,21.7,0.71,0.296,200,60,0,0,0,0,0
2023-02-08,Assam,Rural,Well,Winter,6.66,6.15,356.6,5.99,0.74,38.2,95.6,6.12,0.921,48.6,10.0,19.8,0.15,0.476,1000,60,0,0,0,0,0
2024-06-13,Meghalaya,Rural,Hand Pump,Monsoon,7.04,50.91,678.0,5.43,1.93,217.8,621.2,20.61,0.664,34.0,154.7,24.8,5.65,0.85,200,80,1,1,1,1,1
2023-03-26,Meghalaya,Rural,Stream,Monsoon,5.41,64.65,514.7,8.36,2.67,90.1,254.3,11.05,0.927,1.0,152.6,24.5,6.15,0.021,200,100,0,0,1,1,1
2024-08-09,Mizoram,Rural,Pond,Post-Monsoon,6.8,22.03,543.4,6.74,1.79,243.9,687.3,38.67,0.325,12.0,127.6,29.4,2.27,0.228,500,60,1,1,1,1,1
2024-01-31,Tripura,Rural,Rainwater,Monsoon,6.6,10.8,418.2,4.5,2.09,81.9,194.1,14.07,0.575,1.0,154.9,21.3,69.11,0.388,200,40,0,1,1,0,1
2023-04-02,Assam,Rural,River,Pre-Monsoon,7.9,14.2,356.8,4.21,0.5,9.8,15.7,13.48,0.129,1.0,65.5,28.4,13.03,0.091,500,60,0,0,0,0,0
2024-07-30,Manipur,Rural,Pond,Monsoon,8.9,43.33,675.8,4.88,2.68,137.8,315.1,89.55,0.036,63.8,40.6,27.3,0.98,1.457,100,20,1,1,1,1,1
2023-06-06,Meghalaya,Rural,River,Pre-Monsoon,7.51,16.35,331.2,5.09,0.5,23.9,70.6,43.55,0.489,84.2,73.7,18.7,11.87,0.55,1000,60,0,0,0,0,0
2023-03-23,Assam,Urban,River,Pre-Monsoon,6.48,4.43,282.6,4.88,1.06,46.2,92.2,13.81,2.36,56.7,175.1,28.8,1.73,2.562,50,20,0,0,0,0,0
2023-10-29,Meghalaya,Rural,River,Post-Monsoon,6.97,1.27,50.0,6.73,2.72,78.7,194.6,21.89,0.157,61.1,13.8,30.2,3.73,0.29,100,60,0,0,0,0,0
2023-05-01,Tripura,Rural,Pond,Monsoon,7.91,58.63,225.1,3.64,0.73,282.4,611.2,53.38,0.066,26.4,111.1,30.1,4.06,1.134,50,60,1,1,1,1,1
2023-03-08,Meghalaya,Rural,Well,Monsoon,5.38,3.12,89.7,7.2,1.34,4.0,11.3,54.81,0.218,59.6,148.7,27.4,5.57,1.354,50,40,0,1,0,0,1
2023-09-08,Assam,Rural,River,Pre-Monsoon,7.11,19.88,556.5,7.52,0.6,81.3,241.0,12.33,0.294,1.0,110.3,23.1,4.24,0.408,200,80,0,0,0,1,1
2024-09-30,Meghalaya,Rural,Hand Pump,Winter,5.55,5.87,508.9,5.29,0.67,37.8,108.8,12.11,0.115,82.9,44.5,14.8,8.0,0.471,100,20,0,0,0,0,0
2024-07-13,Assam,Rural,River,Pre-Monsoon,7.42,1.76,635.9,6.87,6.14,20.8,56.3,10.07,0.042,99.0,22.1,30.9,16.63,0.252,200,20,0,0,0,1,1
2023-08-01,Mizoram,Rural,Well,Monsoon,6.29,18.24,395.4,6.43,5.73,48.5,82.5,9.22,0.505,17.8,124.6,25.7,33.4,1.217,200,60,0,0,0,0,0
2023-01-04,Assam,Rural,Stream,Pre-Monsoon,5.32,1.3,400.3,6.54,2.62,28.0,75.6,35.8,1.157,51.0,134.4,21.5,2.55,1.074,50,60,0,0,0,0,0
2023-02-19,Assam,Rural,River,Pre-Monsoon,7.82,12.28,543.7,5.38,4.95,97.2,189.8,97.83,0.446,80.3,113.3,24.3,1.38,0.544,500,100,0,0,0,0,0
2023-04-16,Nagaland,Rural,Well,Monsoon,5.9,7.3,66.2,3.48,0.5,41.0,98.3,24.28,2.198,1.0,55.7,25.1,2.28,0.898,100,40,0,0,1,0,1
2023-11-10,Mizoram,Rural,Spring,Pre-Monsoon,7.77,2.21,536.9,10.93,9.03,21.8,44.7,9.35,0.092,77.5,97.3,26.2,2.28,0.096,50,80,0,0,0,0,0
2024-02-29,Mizoram,Rural,Well,Monsoon,6.24,12.78,531.9,4.43,4.08,12.0,20.6,29.39,0.031,37.9,113.1,26.2,2.93,1.305,200,60,0,0,0,0,0
2024-09-02,Tripura,Urban,Hand Pump,Monsoon,6.33,7.08,383.2,6.65,2.82,33.7,99.6,18.25,0.254,50.4,63.4,22.4,18.99,1.402,100,60,0,0,0,0,0
2024-04-04,Assam,Urban,Stream,Monsoon,5.44,19.18,604.3,7.64,0.5,97.6,149.7,39.21,1.084,66.1,109.2,24.9,2.57,0.161,200,100,0,1,0,1,1
2024-10-31,Manipur,Rural,Hand Pump,Post-Monsoon,7.33,13.58,415.7,9.93,0.5,19.7,49.9,23.27,0.506,80.0,111.3,25.0,35.91,1.993,500,60,0,0,0,0,0
2024-11-07,Manipur,Rural,River,Post-Monsoon,6.61,1.87,403.6,3.7,0.96,0.8,1.2,17.15,1.162,3.7,124.4,26.7,12.51,0.368,100,40,0,0,0,0,0
2023-09-29,Assam,Rural,Stream,Monsoon,6.57,3.99,156.8,10.13,2.59,16.1,40.7,12.1,0.103,16.7,95.5,22.0,3.21,3.425,200,80,0,0,0,0,0
2023-03-16,Arunachal Pradesh,Rural,Well,Pre-Monsoon,6.64,2.89,264.5,8.02,0.5,1.7,4.0,7.43,0.732,46.0,92.7,28.1,19.38,3.824,500,40,0,0,0,0,0
2024-09-18,Assam,Rural,Well,Monsoon,5.69,10.94,245.5,4.12,0.91,70.4,122.6,21.24,0.252,71.1,58.3,25.1,2.8,0.415,100,100,0,0,0,0,0
2023-11-14,Sikkim,Rural,Pond,Winter,5.75,6.17,419.6,2.77,0.5,197.7,565.6,50.93,0.75,55.9,63.2,20.2,2.75,0.828,2000,100,1,1,1,1,1
2023-05-24,Arunachal Pradesh,Rural,Hand Pump,Post-Monsoon,5.53,0.1,452.8,6.34,1.52,15.4,28.6,6.65,0.976,1.0,97.4,27.4,0.63,0.075,100,60,0,0,0,0,0
2023-05-28,Manipur,Rural,Pond,Monsoon,6.85,150.0,370.7,5.12,2.97,72.7,162.1,73.39,0.205,40.5,83.8,27.8,1.35,0.736,500,60,1,1,0,0,1
2024-07-08,Arunachal Pradesh,Rural,Spring,Winter,6.4,5.78,297.8,8.06,2.4,1.5,3.2,12.56,0.696,42.6,164.3,20.3,0.29,2.375,500,60,0,0,0,0,0
2024-03-15,Manipur,Rural,Spring,Monsoon,5.61,6.46,389.1,7.9,3.12,42.0,69.2,22.48,0.391,67.6,38.4,27.0,22.82,1.839,100,60,0,0,0,0,0
2024-12-14,Assam,Rural,River,Monsoon,4.99,70.32,298.5,5.93,4.22,74.3,200.8,21.72,0.416,85.9,59.9,24.5,27.14,0.014,1000,100,1,0,0,0,1
2024-07-22,Meghalaya,Rural,Well,Monsoon,7.0,20.2,537.3,4.36,0.5,334.3,895.0,22.35,0.068,1.0,76.6,23.3,5.67,0.115,1000,40,1,1,1,1,1
2023-04-23,Assam,Rural,Hand Pump,Pre-Monsoon,5.96,4.03,352.2,5.57,2.79,40.8,109.7,10.2,0.039,30.1,10.0,27.9,35.92,3.114,2000,40,0,0,0,0,0
2023-04-13,Meghalaya,Rural,Spring,Monsoon,5.32,13.98,102.6,6.15,2.48,102.0,278.3,20.34,0.146,9.8,75.0,29.2,2.3,1.213,1000,20,1,1,1,1,1
2024-03-19,Manipur,Rural,River,Post-Monsoon,7.73,6.86,197.7,0.64,0.53,3.1,4.7,5.98,0.133,42.1,108.6,28.1,6.36,0.402,1000,80,0,0,0,0,0
2024-02-15,Meghalaya,Urban,River,Winter,7.43,63.34,315.3,4.62,1.52,61.5,178.2,7.1,0.235,11.2,10.0,18.4,0.76,0.127,50,60,0,0,0,0,0
2024-08-14,Meghalaya,Rural,River,Post-Monsoon,5.07,16.78,306.2,7.81,0.99,59.9,170.2,41.78,0.011,16.3,123.8,26.2,9.63,0.794,2000,60,0,1,0,0,1
2024-09-10,Nagaland,Urban,Stream,Post-Monsoon,6.93,0.44,52.4,7.17,2.22,2.7,7.4,8.21,0.032,18.0,72.1,22.6,1.99,0.596,50,20,0,0,0,0,0
2024-01-03,Arunachal Pradesh,Rural,River,Post-Monsoon,7.07,3.97,479.6,5.57,1.13,86.7,244.3,14.86,0.216,1.0,123.3,29.8,12.62,0.402,50,60,0,0,0,0,0
2023-04-21,Assam,Rural,Well,Monsoon,6.17,31.44,349.7,3.46,1.15,70.4,191.4,18.44,1.037,1.0,18.9,23.2,0.95,0.273,100,40,0,1,1,1,1
2024-01-17,Meghalaya,Rural,Pond,Monsoon,6.79,95.39,307.7,1.79,3.93,134.1,397.0,39.46,0.084,74.3,59.9,26.4,16.94,1.254,1000,80,1,1,1,1,1
2023-12-23,Assam,Rural,Well,Monsoon,6.09,5.0,328.6,10.29,3.81,87.0,179.6,16.05,0.994,57.4,162.0,24.3,9.03,0.861,50,60,0,0,0,0,0
2024-08-13,Manipur,Rural,Hand Pump,Monsoon,6.12,7.0,398.5,2.12,0.63,177.7,358.8,9.31,0.361,5.8,115.3,20.7,1.89,1.547,100,100,1,1,1,1,1
2024-10-10,Assam,Urban,Spring,Winter,6.25,7.9,285.0,9.41,5.18,47.9,84.8,7.6,0.663,62.6,64.7,16.8,14.2,0.458,200,80,0,0,0,0,0
2023-07-06,Nagaland,Rural,Pond,Pre-Monsoon,7.3,37.66,164.7,4.41,3.12,169.0,506.4,10.52,0.294,1.0,72.3,22.0,21.36,1.74,50,20,1,1,1,1,1
2024-02-24,Assam,Rural,Stream,Post-Monsoon,6.08,3.08,110.7,6.13,6.51,0.4,0.9,10.23,0.051,23.9,25.5,29.0,1.03,0.068,50,100,0,0,0,0,0
2024-09-19,Assam,Rural,River,Monsoon,7.09,4.58,356.1,7.69,0.5,71.8,172.6,5.6,0.374,1.0,45.0,28.1,0.28,0.137,50,20,0,0,0,1,1
2023-07-03,Arunachal Pradesh,Rural,Spring,Monsoon,6.62,14.11,180.6,7.94,0.5,36.5,89.5,5.81,0.365,11.3,116.9,27.0,2.91,0.351,200,40,0,0,0,0,0
2023-05-17,Assam,Rural,Spring,Winter,5.75,11.01,286.5,6.15,2.45,50.7,140.4,40.21,0.679,114.9,149.4,19.6,12.38,0.033,50,40,0,1,0,0,1
2024-06-24,Meghalaya,Rural,Spring,Post-Monsoon,6.4,5.96,534.3,9.78,5.84,4.6,11.0,23.78,0.601,51.0,27.2,23.7,11.92,0.89,2000,60,0,0,0,0,0
2024-12-25,Assam,Rural,River,Pre-Monsoon,7.26,4.16,541.4,4.05,1.86,26.5,64.2,7.4,0.021,52.3,49.9,31.0,10.97,0.059,200,60,0,0,0,0,0
2023-07-14,Tripura,Rural,Well,Monsoon,7.57,43.91,456.9,4.77,1.85,21.2,41.8,10.62,0.725,45.0,85.6,29.6,3.9,0.12,100,60,0,0,0,0,0
2023-12-10,Tripura,Rural,Hand Pump,Monsoon,6.14,15.13,431.7,7.85,10.44,193.8,385.1,35.95,0.447,19.9,157.7,23.7,0.27,0.64,200,60,1,1,0,1,1
2023-11-11,Meghalaya,Rural,River,Monsoon,6.03,7.76,399.2,3.9,1.15,44.8,78.1,12.28,0.303,1.0,42.1,23.0,3.62,0.41,2000,40,0,0,0,1,1
2023-10-09,Assam,Rural,Spring,Winter,7.32,4.69,290.1,8.69,1.07,39.1,72.7,20.59,0.173,1.0,68.9,15.8,11.27,1.945,100,60,0,0,0,0,0
2024-04-20,Meghalaya,Rural,Well,Monsoon,5.52,19.11,475.7,5.61,4.76,37.6,75.3,70.44,0.425,116.6,141.7,26.2,1.26,0.049,500,20,0,1,0,1,1
2024-11-24,Manipur,Rural,River,Pre-Monsoon,6.52,3.92,158.5,4.59,0.5,78.2,130.5,12.67,1.495,31.1,29.8,33.6,10.86,0.407,100,40,0,1,0,1,1
2023-06-07,Mizoram,Rural,Stream,Winter,7.02,2.31,500.0,8.24,2.14,49.4,136.4,47.65,0.557,22.2,173.3,14.9,11.05,2.03,500,80,0,0,0,0,0
2024-08-02,Tripura,Rural,Spring,Pre-Monsoon,6.95,4.11,328.7,7.63,19.47,41.7,79.7,7.43,0.234,65.0,92.9,24.8,0.7,0.124,100,40,0,0,0,0,0
2023-06-02,Nagaland,Rural,Well,Pre-Monsoon,6.26,6.56,587.6,7.88,2.12,5.6,13.8,53.58,0.343,25.7,29.7,29.0,0.49,0.567,500,60,0,0,0,0,0
2023-09-07,Assam,Rural,Well,Post-Monsoon,5.79,2.62,232.3,6.54,0.5,38.7,67.9,20.33,0.285,110.1,111.4,29.0,3.52,0.223,50,60,0,0,0,0,0
2023-08-14,Assam,Urban,River,Post-Monsoon,8.08,14.04,342.1,2.97,3.82,7.2,14.9,1.1,0.01,72.6,130.2,25.5,20.99,2.567,200,80,0,0,0,0,0
2024-12-20,Assam,Urban,Spring,Pre-Monsoon,5.8,4.29,354.7,7.46,12.73,47.0,97.0,15.96,0.895,2.0,131.0,30.2,4.61,0.291,2000,60,0,0,0,0,0
2023-12-05,Assam,Rural,Stream,Monsoon,7.81,56.92,549.6,8.17,0.5,135.6,260.2,7.93,0.417,1.0,132.6,29.6,2.54,0.602,50,80,1,0,1,1,1
2023-10-14,Assam,Rural,Stream,Pre-Monsoon,7.07,15.4,378.8,5.43,3.44,19.8,39.6,9.45,0.452,13.6,89.9,27.3,23.13,1.072,2000,100,0,0,0,0,0
2023-06-30,Tripura,Rural,Spring,Monsoon,5.42,0.54,437.3,7.29,1.49,142.8,286.5,5.46,0.241,33.7,50.6,23.9,6.25,3.482,200,40,1,0,1,1,1
2024-06-24,Tripura,Rural,Spring,Pre-Monsoon,6.34,1.19,691.3,8.68,1.96,4.3,11.4,28.4,0.262,63.1,120.1,27.5,9.5,1.03,50,60,0,0,0,0,0
2024-02-27,Arunachal Pradesh,Rural,River,Monsoon,5.25,10.06,186.1,6.69,0.5,53.5,109.8,8.25,0.487,87.8,54.2,24.8,25.31,0.919,100,100,0,0,0,0,0
2024-08-21,Assam,Rural,River,Monsoon,6.31,2.26,89.0,8.16,2.47,40.8,84.4,24.4,0.208,61.0,144.3,26.0,6.29,2.582,200,40,0,0,0,1,1
2023-10-07,Nagaland,Rural,River,Monsoon,6.49,12.48,488.3,7.38,1.55,11.0,24.4,27.47,0.342,48.5,128.4,24.3,12.27,1.676,5000,60,0,0,0,0,0
2023-11-20,Mizoram,Rural,Well,Monsoon,4.72,27.75,245.8,4.82,0.54,247.4,555.6,40.6,0.357,36.8,109.5,25.0,24.33,1.256,1000,80,1,1,1,1,1
2024-12-26,Tripura,Urban,River,Post-Monsoon,5.39,7.34,598.1,4.74,4.53,58.1,142.5,18.96,0.123,122.7,148.2,29.3,20.96,0.056,50,40,0,1,0,0,1
2024-07-12,Assam,Rural,River,Winter,6.08,52.41,357.0,3.41,0.5,127.7,280.0,5.0,0.036,4.9,113.5,18.6,3.09,2.945,100,60,0,0,0,0,0
2023-12-29,Assam,Rural,Rainwater,Pre-Monsoon,6.52,15.33,319.0,7.51,1.16,24.8,72.7,28.73,0.381,1.0,57.9,27.8,5.51,0.167,100,80,0,0,0,0,0
2024-03-25,Assam,Urban,River,Monsoon,6.75,71.66,535.1,6.34,1.02,3.0,8.0,14.05,0.123,45.9,144.6,23.4,0.23,0.71,1000,100,0,0,0,0,0
2023-08-10,Meghalaya,Rural,River,Monsoon,7.5,26.41,429.9,6.13,0.71,38.6,91.2,33.84,0.262,30.8,189.9,25.3,20.15,1.236,100,60,0,0,0,0,0
2023-12-27,Manipur,Urban,Stream,Monsoon,4.93,3.47,481.3,7.46,0.5,97.2,275.8,0.2,0.049,5.1,10.0,26.8,0.63,0.991,200,40,0,1,1,1,1
2024-10-12,Assam,Rural,River,Monsoon,5.93,5.8,559.4,5.97,2.45,60.4,170.1,18.1,0.082,26.4,57.5,26.8,1.69,3.494,500,80,0,0,0,0,0
2023-02-14,Assam,Urban,Spring,Winter,5.03,7.25,271.2,7.19,4.3,84.5,144.0,11.88,0.182,18.6,106.6,18.6,11.96,0.721,50,60,0,0,0,0,0
2023-06-06,Manipur,Urban,Stream,Pre-Monsoon,6.75,4.24,251.8,6.9,1.26,60.6,130.4,26.42,0.3,102.8,85.2,28.0,5.52,1.138,1000,40,0,0,0,1,1
2023-11-03,Mizoram,Rural,River,Monsoon,7.07,59.34,201.0,1.75,4.9,167.6,345.4,30.32,0.533,49.5,155.1,25.8,1.21,1.445,5000,100,1,1,1,1,1
2024-06-09,Tripura,Rural,Rainwater,Post-Monsoon,6.76,6.52,270.0,4.73,3.04,29.1,58.2,39.94,0.166,112.3,86.3,26.3,1.61,1.14,200,80,0,0,0,0,0
2024-12-26,Manipur,Rural,Stream,Monsoon,7.33,115.06,345.7,6.19,4.09,19.6,33.0,21.9,0.471,58.5,75.7,25.4,11.86,0.73,200,40,0,0,0,1,1
2023-10-10,Meghalaya,Rural,Hand Pump,Monsoon,6.44,11.81,500.3,3.72,2.47,146.7,296.6,8.34,1.786,1.0,81.7,21.8,8.64,0.183,200,100,0,0,0,0,0
2023-07-14,Assam,Rural,Pond,Pre-Monsoon,7.13,8.92,300.7,1.68,1.69,54.8,128.7,10.28,0.177,6.1,104.1,21.6,0.58,2.137,50,20,1,1,0,0,1
2023-03-13,Meghalaya,Rural,Pond,Pre-Monsoon,7.55,5.19,386.2,6.08,2.17,7.0,11.1,13.8,0.066,23.4,164.0,29.1,0.2,0.251,100,40,0,0,0,0,0
2023-09-16,Nagaland,Rural,Stream,Winter,6.22,14.23,424.7,6.47,1.04,31.4,62.9,76.34,0.219,102.3,10.0,17.5,2.33,1.536,100,40,0,0,0,0,0
2023-11-14,Arunachal Pradesh,Rural,Rainwater,Pre-Monsoon,6.75,0.19,373.5,3.43,1.92,60.3,92.8,8.1,0.111,33.0,111.3,24.6,5.52,2.317,50,40,0,0,0,1,1
2024-01-03,Assam,Rural,Hand Pump,Monsoon,7.58,19.73,435.9,3.27,0.5,40.6,71.8,18.67,0.207,63.4,21.1,26.5,0.59,0.356,200,80,0,0,0,0,0
2024-10-31,Tripura,Rural,Spring,Pre-Monsoon,7.63,1.44,557.2,4.52,2.22,32.0,64.6,9.65,1.728,35.6,163.2,25.2,15.34,0.681,100,60,0,0,0,0,0
2024-11-23,Meghalaya,Urban,Hand Pump,Post-Monsoon,6.3,4.45,605.5,3.2,0.58,25.9,58.0,7.5,1.089,13.5,127.1,25.7,3.09,1.095,50,40,0,0,0,0,0
2024-12-26,Tripura,Rural,Stream,Pre-Monsoon,6.2,0.1,289.1,5.1,0.5,117.6,201.7,16.89,0.035,21.5,180.6,30.4,2.19,0.152,50,100,1,0,0,0,1
2024-03-17,Assam,Rural,Stream,Monsoon,6.94,10.59,278.0,5.18,2.41,153.8,353.8,27.21,0.22,8.1,189.6,23.5,3.49,0.29,100,100,1,0,0,1,1
2023-04-07,Meghalaya,Rural,Spring,Monsoon,5.71,1.42,151.1,7.96,1.86,90.8,198.1,36.14,0.242,17.8,134.9,23.4,22.77,1.721,200,60,1,1,0,0,1
2023-12-16,Mizoram,Rural,Stream,Post-Monsoon,6.33,16.89,408.9,7.33,3.7,16.9,31.9,12.2,0.105,21.4,154.0,28.7,4.48,2.843,1000,40,0,0,0,0,0
2024-01-06,Tripura,Rural,Well,Pre-Monsoon,6.95,3.94,344.1,3.22,1.07,5.9,12.2,15.99,1.955,52.7,178.4,27.4,2.07,0.346,100,60,0,0,0,0,0
2024-02-14,Tripura,Rural,Stream,Monsoon,6.59,6.6,368.4,6.68,1.83,47.1,74.7,10.14,1.47,66.6,47.5,21.2,4.29,1.437,100,60,0,0,0,0,0
2023-05-16,Assam,Rural,Well,Pre-Monsoon,6.74,11.05,277.0,6.59,0.5,41.7,96.3,90.56,0.12,48.9,119.5,25.0,0.53,0.771,50,60,0,0,0,0,0
2023-03-15,Assam,Rural,River,Pre-Monsoon,7.94,12.12,576.9,7.19,9.4,117.1,218.1,6.84,0.544,33.3,123.8,28.6,2.32,0.158,50,80,0,0,0,0,0
2023-10-11,Meghalaya,Rural,River,Post-Monsoon,5.92,13.93,373.8,7.69,0.5,13.9,27.9,5.5,0.239,65.6,125.5,25.9,30.23,1.799,100,40,0,0,0,0,0
